method,FactorName,FactorNumber,RowInd,ColInd,Val
truth,V,1,2,16,-0.0576522417685839
truth,V,1,3,16,-0.109977641207871
truth,V,1,4,16,-0.0109178750409178
truth,V,1,5,16,-0.0371556061088439
truth,V,1,6,16,0.0639781466899568
truth,V,1,7,16,-0.0535925132769366
truth,V,1,8,16,0.0587488094741876
truth,V,1,9,16,-0.0234180387732681
truth,V,1,10,16,-0.0274566511227239
truth,V,1,11,16,0.0191771880556398
truth,V,1,12,16,-0.0242086936177812
truth,V,1,13,16,0.0329649204999786
truth,V,1,14,16,0.0389077106061953
truth,V,1,15,16,-0.0353615149821961
truth,V,1,16,16,0.0409616924181124
truth,V,1,17,16,0.034947965011839
truth,V,1,18,16,0.0265163773286551
truth,V,1,19,16,0.0525963971234821
truth,V,1,20,16,0.0335620069884639
truth,V,1,21,16,0
truth,V,1,22,16,0
truth,V,1,23,16,0
truth,V,1,24,16,0
truth,V,1,25,16,0
truth,V,1,26,16,0
truth,V,1,27,16,0
truth,V,1,28,16,0
truth,V,1,29,16,0
truth,V,1,30,16,0
truth,V,1,31,16,0
truth,V,1,32,16,0
truth,V,1,33,16,0
truth,V,1,34,16,0
truth,V,1,35,16,0
truth,V,1,36,16,0
truth,V,1,37,16,0
truth,V,1,38,16,0
truth,V,1,39,16,0
truth,V,1,40,16,0
truth,V,1,41,16,0
truth,V,1,42,16,0
truth,V,1,43,16,0
truth,V,1,44,16,0
truth,V,1,45,16,0
truth,V,1,46,16,0
truth,V,1,47,16,0
truth,V,1,48,16,0
truth,V,1,49,16,0
truth,V,1,50,16,0
truth,V,1,1,17,-0.00419270657065804
truth,V,1,2,17,-0.0491881172197767
truth,V,1,3,17,-0.0938314442134169
truth,V,1,4,17,-0.00931498413295315
truth,V,1,5,17,-0.0317006633669113
truth,V,1,6,17,0.0545852942114824
truth,V,1,7,17,-0.0457244114764828
truth,V,1,8,17,0.0501236940367054
truth,V,1,9,17,-0.0199799556947061
truth,V,1,10,17,-0.023425645429507
truth,V,1,11,17,0.0163617189044076
truth,V,1,12,17,-0.0206545317732634
truth,V,1,13,17,0.0281252267726587
truth,V,1,14,17,0.0331955353571968
truth,V,1,15,17,-0.0301699689492556
truth,V,1,16,17,0.034947965011839
truth,V,1,17,17,0.0298171336770417
truth,V,1,18,17,0.0226234164756531
truth,V,1,19,17,0.0448745385727143
truth,V,1,20,17,0.0286346529334635
truth,V,1,21,17,0
truth,V,1,22,17,0
truth,V,1,23,17,0
truth,V,1,24,17,0
truth,V,1,25,17,0
truth,V,1,26,17,0
truth,V,1,27,17,0
truth,V,1,28,17,0
truth,V,1,29,17,0
truth,V,1,30,17,0
truth,V,1,31,17,0
truth,V,1,32,17,0
truth,V,1,33,17,0
truth,V,1,34,17,0
truth,V,1,35,17,0
truth,V,1,36,17,0
truth,V,1,37,17,0
truth,V,1,38,17,0
truth,V,1,39,17,0
truth,V,1,40,17,0
truth,V,1,41,17,0
truth,V,1,42,17,0
truth,V,1,43,17,0
truth,V,1,44,17,0
truth,V,1,45,17,0
truth,V,1,46,17,0
truth,V,1,47,17,0
truth,V,1,48,17,0
truth,V,1,49,17,0
truth,V,1,50,17,0
truth,V,1,1,18,-0.00318116918734004
truth,V,1,2,18,-0.0373209334461641
truth,V,1,3,18,-0.0711935581717778
truth,V,1,4,18,-0.0070676399611865
truth,V,1,5,18,-0.0240525235481075
truth,V,1,6,18,0.041415981085508
truth,V,1,7,18,-0.034692885477892
truth,V,1,8,18,0.0380307918853957
truth,V,1,9,18,-0.0151595677754388
truth,V,1,10,18,-0.0177739462988951
